127.0.0.1 - - [16/Feb/2022:09:34:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:28 +0900] "GET /BookStore/index.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:31 +0900] "GET /BookStore/bs.do?cmd=index HTTP/1.1" 200 14648
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:31 +0900] "GET /BookStore/script/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:31 +0900] "GET /BookStore/css/book.css HTTP/1.1" 200 14069
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:31 +0900] "GET /BookStore/script/main.js HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/mypage/mypage.js HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/member/member.js HTTP/1.1" 200 6911
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/main/logo.png HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/main/main_s1.png HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/main/main_s2.png HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/book/08.png HTTP/1.1" 200 122415
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/book/07.png HTTP/1.1" 200 112235
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/main/main_s5.png HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/main/main_s4.png HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/main/main_s6.png HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/main/main_s3.png HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/footer/logo.png HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/book/05.png HTTP/1.1" 200 71505
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/footer/customer_servicecenter.jpg HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/book/06.png HTTP/1.1" 200 145130
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/book/01.png HTTP/1.1" 200 100617
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/book/04.png HTTP/1.1" 200 74654
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/search.png HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:32 +0900] "GET /BookStore/images/main/ico_btn.png HTTP/1.1" 200 87268
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:53 +0900] "GET /BookStore/bs.do?cmd=loginForm HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:55 +0900] "POST /BookStore/bs.do HTTP/1.1" 200 14692
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:55 +0900] "GET /BookStore/images/book/03.png HTTP/1.1" 200 121490
0:0:0:0:0:0:0:1 - - [16/Feb/2022:09:34:55 +0900] "GET /BookStore/images/book/02.png HTTP/1.1" 200 30344
